taxa,bay,month,day,year,abund,male,female,repro,eph,density,volume,mean_temp_C,temp_var,conductivity,pH,hydro_days,soil,canopy,area_ha,sample_date,species,genus,family,order,class,phylum,ID_specificity,broad_group,general_diet,functional_feeding_group,diet_specifics,diet_internet_source,size_mm,size_source
Acanthocyclops robustus,4,4,7,2010,6,0,0,0,0,1.01,10956.304,10,14.5,40.76,5.58,211,upland,forrested,1.29,4/7/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,26,6,16,2010,2,0,0,0,0,0.71,2827.433,11.1,17.2,27.49,5.05,274,terrace,open,0.49,6/16/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,4,5,21,2009,3,0,0,2,0,1.1,5576.327,10,14.5,40.76,5.58,211,upland,forrested,1.29,5/21/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,80,3,17,2010,2,0,0,1,0,1.02,1963.495,9.9,16.1,40.33,4.79,151,sand,forrested,2.02,3/17/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,7,2,10,2010,2,0,0,1,0,0.62,3220.132,10.2,20,31.08,5.21,196,terrace,forrested,2.51,2/10/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,11,3,10,2010,9,0,0,1,0,2.47,8011.062,10,14.7,33.69,5.23,281,terrace,open,0.77,3/10/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,11,4,7,2010,57,0,0,20,0,11.88,8796.459,10,14.7,33.69,5.23,281,terrace,open,0.77,4/7/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,78,8,6,2009,1,0,0,0,0,0.19,5262.168,12.6,20.5,29.17,4.91,365,sand,open,4.01,8/6/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,40,2,17,2010,2,0,0,1,0,0.31,13116.149,10.3,20.5,41.58,5.55,365,upland,open,5.26,2/17/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,26,5,5,2010,7,0,0,4,0,1.55,4516.039,11.1,17.2,27.49,5.05,274,terrace,open,0.49,5/5/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
