bay,latitude,longitude,better_lat,better_long
3,33° 20',81° 40',33.337581,-81.678967
4,33° 20',81° 41',33.342883,-81.684854
7,33° 17',81° 46',33.288412,-81.750688
9,33° 17',81° 45',33.289839,-81.749603
11,33° 18',81° 45',33.291045,-81.749051
25,33° 15',81° 45',33.257333,-81.756431
26,33° 15',81° 45',33.250084,-81.753015
40,33° 16',81° 36',33.268795,-81.606445
41,33° 16',81° 36',33.272695,-81.614146
44,33° 15',81° 36',33.256916,-81.601362
66,33° 19',81° 28',33.320724,-81.473852
67,33° 19',81° 28',33.318915,-81.476554
78,33° 17',81° 29',33.289772,-81.485418
79,33° 17',81° 29',33.287804,-81.487506
80,33° 17',81° 29',33.285845,-81.488011
176,33° 13',81° 44',33.221655,-81.746797
